tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,original_language,is_franchise,budget,revenue,saga_position
tt0115433,movie,101 Dalmatians,1996,103,"Adventure,Comedy,Crime",5.8,123717,en,True,54000000.0,320689294.0,1.0
tt0115571,movie,The Arrival,1996,115,"Mystery,Sci-Fi,Thriller",6.2,41929,en,True,25000000.0,14063331.0,1.0
tt0115641,movie,Beavis and Butt-Head Do America,1996,81,"Adventure,Animation,Comedy",6.8,63063,en,True,12000000.0,63118386.0,1.0
tt0115693,movie,Black Mask,1996,99,"Action,Adventure,Comedy",6.0,13005,cn,True,8000000.0,60004461.0,1.0
tt0115783,movie,Bulletproof,1996,84,"Action,Comedy,Crime",5.8,41358,en,True,25000000.0,22611954.0,1.0
tt0115963,movie,The Craft,1996,101,"Drama,Fantasy,Horror",6.5,119648,en,True,15000000.0,24800000.0,1.0
tt0115986,movie,The Crow: City of Angels,1996,84,"Action,Crime,Fantasy",4.6,23454,en,True,13000000.0,25317287.0,2.0
tt0116000,movie,D3: The Mighty Ducks,1996,104,"Action,Comedy,Drama",5.5,30484,en,True,0.0,22955097.0,3.0
tt0116075,movie,The Dentist,1996,92,"Horror,Thriller",5.4,11547,en,True,700000.0,0.0,1.0
tt0116136,movie,DragonHeart,1996,103,"Action,Adventure,Fantasy",6.4,104908,en,True,57000000.0,115267375.0,1.0
tt0116213,movie,Eraser,1996,115,"Action,Crime,Thriller",6.2,124585,en,True,100000000.0,242295562.0,1.0
tt0116225,movie,Escape from L.A.,1996,101,"Action,Adventure,Sci-Fi",5.7,86327,en,True,50000000.0,42277365.0,2.0
tt0116361,movie,Freeway,1996,104,"Crime,Drama,Thriller",6.8,34377,en,True,3100000.0,295493.0,1.0
tt0116367,movie,From Dusk Till Dawn,1996,108,"Action,Crime,Horror",7.2,371625,en,True,19000000.0,25800000.0,1.0
tt0116483,movie,Happy Gilmore,1996,92,"Comedy,Sport",7.0,309100,en,True,12000000.0,41422354.0,1.0
tt0116514,movie,Hellraiser: Bloodline,1996,85,"Horror,Sci-Fi",5.1,26994,en,True,4000000.0,16675000.0,4.0
tt0116552,movie,Homeward Bound II: Lost in San Francisco,1996,88,"Adventure,Comedy,Family",5.9,17384,en,True,0.0,32709423.0,2.0
tt0116583,movie,The Hunchback of Notre Dame,1996,91,"Animation,Drama,Family",7.0,185244,en,True,100000000.0,325300000.0,1.0
tt0116629,movie,Independence Day,1996,145,"Action,Adventure,Sci-Fi",7.0,649795,en,True,75000000.0,817400891.0,1.0
tt0116630,movie,Indian,1996,185,"Action,Drama,Musical",8.1,16105,ta,True,1800000.0,4200000.0,1.0
tt0116704,movie,First Strike,1996,107,"Action,Adventure,Comedy",6.6,24296,cn,True,0.0,53168876.0,4.0
tt0116705,movie,Jingle All the Way,1996,89,"Adventure,Comedy,Family",5.8,130407,en,True,60000000.0,129832389.0,1.0
tt0116736,movie,The Hunters,1996,113,"Crime,Thriller",7.0,10238,sv,True,17500000.0,0.0,1.0
tt0116839,movie,Lawnmower Man 2: Beyond Cyberspace,1995,93,"Action,Sci-Fi,Thriller",2.6,10763,en,True,15000000.0,2409225.0,2.0
tt0117060,movie,Mission: Impossible,1996,110,"Action,Adventure,Thriller",7.2,519644,en,True,80000000.0,457696391.0,1.0
tt0117110,movie,Muppet Treasure Island,1996,99,"Action,Adventure,Comedy",6.9,29437,en,True,31000000.0,34327766.0,5.0
tt0117218,movie,The Nutty Professor,1996,95,"Comedy,Romance,Sci-Fi",5.7,131355,en,True,54000000.0,128769345.0,1.0
tt0117293,movie,Paradise Lost: The Child Murders at Robin Hood Hills,1996,150,"Crime,Documentary",8.2,19626,en,True,0.0,0.0,1.0
tt0117407,movie,Pusher,1996,110,"Crime,Thriller",7.3,52217,da,True,965000.0,0.0,1.0
tt0117571,movie,Scream,1996,111,"Horror,Mystery",7.4,448755,en,True,14000000.0,173046663.0,1.0
tt0117705,movie,Space Jam,1996,88,"Adventure,Animation,Comedy",6.5,229907,en,True,80000000.0,250200000.0,1.0
tt0117731,movie,Star Trek: First Contact,1996,111,"Action,Adventure,Drama",7.6,138254,en,True,46000000.0,146027888.0,2.0
tt0117774,movie,The Substitute,1996,114,"Action,Crime,Drama",6.1,18398,en,True,0.0,14818176.0,1.0
tt0117826,movie,Bordello of Blood,1996,87,"Comedy,Fantasy,Horror",5.4,16964,en,True,15000000.0,5600000.0,2.0
tt0117951,movie,Trainspotting,1996,93,"Crime,Drama",8.1,769980,en,True,4000000.0,71981823.0,1.0
tt0117998,movie,Twister,1996,113,"Action,Adventure,Thriller",6.6,252057,en,True,92000000.0,494471524.0,1.0
tt0118073,movie,A Very Brady Sequel,1996,90,Comedy,5.9,12661,en,True,12000000.0,21440752.0,2.0
tt0118539,movie,3 Ninjas: High Noon at Mega Mountain,1998,93,"Action,Adventure,Comedy",3.0,12982,en,True,0.0,375805.0,4.0
tt0118570,movie,Air Bud,1997,98,"Comedy,Drama,Family",5.4,21511,en,True,3000000.0,23144499.0,1.0
tt0118583,movie,Alien: Resurrection,1997,109,"Action,Horror,Sci-Fi",6.2,292843,en,True,70000000.0,162000000.0,4.0
tt0118604,movie,An American Werewolf in Paris,1997,98,"Comedy,Fantasy,Horror",5.1,29092,en,True,22000000.0,26570463.0,2.0
tt0118615,movie,Anaconda,1997,89,"Action,Adventure,Horror",5.0,126019,en,True,45000000.0,136885767.0,1.0
tt0118617,movie,Anastasia,1997,94,"Adventure,Animation,Drama",7.2,147531,en,True,53000000.0,139804348.0,1.0
tt0118655,movie,Austin Powers: International Man of Mystery,1997,89,"Adventure,Comedy",7.0,274570,en,True,16500000.0,67711748.0,1.0
tt0118665,movie,Baby Geniuses,1999,97,"Comedy,Crime,Family",2.6,28428,en,True,12000000.0,36450736.0,1.0
tt0118688,movie,Batman & Robin,1997,125,"Action,Sci-Fi",3.8,283374,en,True,125000000.0,238207122.0,4.0
tt0118689,movie,Bean,1997,89,"Adventure,Comedy,Family",6.5,116806,en,True,18000000.0,251212670.0,1.0
tt0118747,movie,Blues Brothers 2000,1998,123,"Action,Comedy,Crime",4.9,36268,en,True,28000000.0,14051384.0,2.0
tt0118751,movie,Border,1997,176,"Action,Drama,History",8.0,20357,hi,True,700000.0,37000000.0,1.0
tt0118767,movie,Brother,1997,99,"Crime,Drama,Thriller",7.8,28922,ru,True,10000.0,1360000.0,1.0
tt0118998,movie,Doctor Dolittle,1998,85,"Comedy,Family,Fantasy",5.4,106935,en,True,71000000.0,294500000.0,1.0
tt0119152,movie,Free Willy 3: The Rescue,1997,86,"Adventure,Drama,Family",4.8,11321,en,True,35000000.0,3446539.0,3.0
tt0119190,movie,George of the Jungle,1997,92,"Action,Adventure,Comedy",5.6,90586,en,True,55000000.0,174463257.0,1.0
tt0119215,movie,Good Burger,1997,95,"Comedy,Family",5.8,36334,en,True,8500000.0,23712993.0,1.0
tt0119273,movie,Heavy Metal 2000,2000,88,"Action,Adventure,Animation",5.4,10269,en,True,15000000.0,0.0,2.0
tt0119282,movie,Hercules,1997,93,"Action,Adventure,Animation",7.3,281019,en,True,85000000.0,252712101.0,1.0
tt0119303,movie,Home Alone 3,1997,102,"Action,Comedy,Crime",4.6,138701,en,True,32000000.0,79082515.0,3.0
tt0119345,movie,I Know What You Did Last Summer,1997,101,"Horror,Mystery",5.9,181673,en,True,17000000.0,125586134.0,1.0
tt0119468,movie,Kiss the Girls,1997,115,"Crime,Drama,Mystery",6.6,100665,en,True,27000000.0,60527873.0,1.0
tt0119567,movie,The Lost World: Jurassic Park,1997,129,"Action,Adventure,Sci-Fi",6.6,479087,en,True,73000000.0,618638999.0,2.0
tt0119654,movie,Men in Black,1997,98,"Action,Adventure,Comedy",7.3,666765,en,True,90000000.0,589390539.0,1.0
tt0119675,movie,Mimic,1997,105,"Horror,Sci-Fi",6.0,60174,en,True,30000000.0,25480490.0,1.0
tt0119707,movie,Mortal Kombat: Annihilation,1997,95,"Action,Adventure,Fantasy",3.6,61946,en,True,30000000.0,51376861.0,2.0
tt0120032,movie,Romy and Michele's High School Reunion,1997,92,Comedy,6.4,58275,en,True,20000000.0,29235353.0,1.0
tt0120082,movie,Scream 2,1997,120,"Horror,Mystery",6.4,238039,en,True,24000000.0,172363301.0,2.0
tt0120179,movie,Speed 2: Cruise Control,1997,121,"Action,Adventure,Crime",4.0,89264,en,True,160000000.0,164508066.0,2.0
tt0120201,movie,Starship Troopers,1997,129,"Action,Adventure,Sci-Fi",7.3,347764,en,True,105000000.0,121214377.0,1.0
tt0120347,movie,Tomorrow Never Dies,1997,119,"Action,Adventure,Thriller",6.5,216666,en,True,110000000.0,333011068.0,19.0
tt0120363,movie,Toy Story 2,1999,92,"Adventure,Animation,Comedy",7.9,675996,en,True,90000000.0,497375404.0,2.0
tt0120389,movie,Turbo: A Power Rangers Movie,1997,99,"Action,Adventure,Family",3.7,10479,en,True,10000000.0,9615840.0,2.0
tt0120390,movie,Turbulence,1997,100,"Action,Thriller",5.0,13559,en,True,55000000.0,11466088.0,1.0
tt0120434,movie,Vegas Vacation,1997,93,Comedy,6.0,56505,en,True,25000000.0,36400360.0,4.0
tt0120524,movie,Wishmaster,1997,90,"Fantasy,Horror",5.9,29004,en,True,5000000.0,15738769.0,1.0
tt0120595,movie,Babe: Pig in the City,1998,97,"Adventure,Comedy,Drama",5.9,37638,en,True,90000000.0,69100000.0,2.0
tt0120611,movie,Blade,1998,120,"Action,Horror,Sci-Fi",7.1,331922,en,True,45000000.0,131183530.0,1.0
tt0120616,movie,The Mummy,1999,124,"Action,Adventure,Fantasy",7.1,504511,en,True,80000000.0,415885488.0,1.0
tt0120630,movie,Chicken Run,2000,84,"Adventure,Animation,Comedy",7.1,225593,en,True,45000000.0,224834564.0,1.0
tt0120667,movie,Fantastic Four,2005,106,"Action,Adventure,Fantasy",5.7,375102,en,True,100000000.0,333535934.0,1.0
tt0120693,movie,Half Baked,1998,82,"Comedy,Crime",6.6,71215,en,True,8000000.0,17460020.0,1.0
tt0120694,movie,Halloween H20: 20 Years Later,1998,86,"Horror,Thriller",5.8,88888,en,True,17000000.0,75041738.0,7.0
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,2001,178,"Adventure,Drama,Fantasy",8.9,2215170,en,True,93000000.0,871368364.0,1.0
tt0120746,movie,The Mask of Zorro,1998,136,"Action,Adventure,Comedy",6.8,210900,en,True,95000000.0,250288523.0,1.0
tt0120755,movie,Mission: Impossible II,2000,123,"Action,Adventure,Thriller",6.1,415554,en,True,125000000.0,546388108.0,2.0
tt0120762,movie,Mulan,1998,87,"Adventure,Animation,Comedy",7.7,347995,en,True,90000000.0,304320254.0,1.0
tt0120773,movie,The Odd Couple II,1998,97,"Adventure,Comedy",6.5,11455,en,True,0.0,18912328.0,2.0
tt0120791,movie,Practical Magic,1998,104,"Comedy,Drama,Fantasy",6.4,108771,en,True,75000000.0,46733235.0,1.0
tt0120804,movie,Resident Evil,2002,100,"Action,Horror,Sci-Fi",6.6,312080,en,True,33000000.0,102984862.0,1.0
tt0120812,movie,Rush Hour,1998,98,"Action,Comedy,Crime",7.1,331286,en,True,33000000.0,244721064.0,1.0
tt0120841,movie,Species II,1998,93,"Action,Horror,Sci-Fi",4.5,33944,en,True,35000000.0,19200000.0,2.0
tt0120844,movie,Star Trek: Insurrection,1998,103,"Action,Adventure,Sci-Fi",6.4,83369,en,True,70000000.0,112587658.0,3.0
tt0120855,movie,Tarzan,1999,88,"Adventure,Animation,Comedy",7.3,270086,en,True,130000000.0,448200000.0,1.0
tt0120868,movie,Torrente: The Dumb Arm of the Law,1998,97,"Comedy,Crime",6.8,15289,es,True,1800000.0,9735799.0,1.0
tt0120873,movie,U.S. Marshals,1998,131,"Action,Crime,Thriller",6.6,120696,en,True,60000000.0,102367405.0,2.0
tt0120877,movie,Vampires,1998,108,"Action,Horror,Thriller",6.1,68558,en,True,20000000.0,20308772.0,1.0
tt0120882,movie,The Visitors II: The Corridors of Time,1998,118,"Comedy,Fantasy",6.1,14569,fr,True,23030000.0,66000000.0,2.0
tt0120890,movie,Wild Things,1998,108,"Crime,Drama,Mystery",6.6,141173,en,True,20000000.0,67200000.0,1.0
tt0120902,movie,The X Files,1998,121,"Adventure,Drama,Mystery",7.0,115093,en,True,66000000.0,189198313.0,1.0
tt0120903,movie,X-Men,2000,104,"Action,Adventure,Sci-Fi",7.3,693921,en,True,75000000.0,296339527.0,1.0
tt0120910,movie,Fantasia 2000,1999,75,"Animation,Family,Fantasy",7.1,44109,en,True,80000000.0,60655420.0,2.0
tt0120912,movie,Men in Black II,2002,88,"Action,Adventure,Comedy",6.2,433163,en,True,140000000.0,445135288.0,2.0
tt0120915,movie,Star Wars: Episode I - The Phantom Menace,1999,136,"Action,Adventure,Fantasy",6.5,931548,en,True,115000000.0,1046515409.0,4.0
tt0120917,movie,The Emperor's New Groove,2000,78,"Adventure,Animation,Comedy",7.4,250345,en,True,100000000.0,169327687.0,1.0
tt0121765,movie,Star Wars: Episode II - Attack of the Clones,2002,142,"Action,Adventure,Fantasy",6.6,825031,en,True,120000000.0,649398328.0,5.0
tt0121766,movie,Star Wars: Episode III - Revenge of the Sith,2005,140,"Action,Adventure,Fantasy",7.7,926731,en,True,113000000.0,850000000.0,6.0
tt0122151,movie,Lethal Weapon 4,1998,127,"Action,Crime,Thriller",6.6,181023,en,True,140000000.0,285444603.0,4.0
tt0122933,movie,Analyze This,1999,103,"Comedy,Crime",6.7,169735,en,True,80000000.0,176885658.0,1.0
tt0123755,movie,Cube,1997,90,"Horror,Mystery,Sci-Fi",7.1,262370,en,True,257899.0,8969065.0,1.0
tt0126029,movie,Shrek,2001,90,"Adventure,Animation,Comedy",7.9,814293,en,True,60000000.0,489676241.0,1.0
tt0127536,movie,Elizabeth,1998,124,"Biography,Drama,History",7.4,110493,en,True,30000000.0,82150642.0,1.0
tt0130018,movie,I Still Know What You Did Last Summer,1998,100,"Horror,Mystery,Thriller",4.8,88720,en,True,24000000.0,84002112.0,2.0
tt0130236,movie,Samurai Cop,1991,96,"Action,Crime,Thriller",4.5,11447,en,True,0.0,0.0,1.0
tt0132910,movie,The Crow: Salvation,2000,102,"Action,Crime,Fantasy",4.9,13782,en,True,10000000.0,0.0,3.0
tt0133093,movie,The Matrix,1999,136,"Action,Sci-Fi",8.7,2257174,en,True,63000000.0,463517383.0,1.0
tt0133189,movie,SLC Punk!,1998,97,"Comedy,Drama,Music",7.3,35848,en,True,600000.0,299200.0,1.0
tt0133385,movie,Asterix and Obelix vs. Caesar,1999,109,"Adventure,Comedy,Family",6.0,48586,fr,True,48500000.0,101644060.0,1.0
tt0134067,movie,The Rugrats Movie,1998,79,"Adventure,Animation,Comedy",5.9,21997,en,True,30000000.0,100491683.0,1.0
tt0134084,movie,Scream 3,2000,116,"Horror,Mystery",5.7,186459,en,True,40000000.0,161838076.0,3.0
tt0134273,movie,8MM,1999,123,"Crime,Drama,Mystery",6.6,151898,en,True,40000000.0,96618699.0,1.0
tt0134847,movie,Pitch Black,2000,109,"Horror,Sci-Fi,Thriller",7.0,264730,en,True,23000000.0,53187659.0,1.0
tt0135790,movie,Bang Boom Bang - Ein todsicheres Ding,1999,110,"Action,Comedy,Crime",7.5,11461,de,True,2888030.0,0.0,1.0
tt0139134,movie,Cruel Intentions,1999,97,"Drama,Romance",6.8,221222,en,True,10500000.0,76347426.0,1.0
tt0139414,movie,Lake Placid,1999,82,"Action,Comedy,Horror",5.8,69649,en,True,27000000.0,56870414.0,1.0
tt0139654,movie,Training Day,2001,122,"Crime,Drama,Thriller",7.8,519663,en,True,45000000.0,104900000.0,1.0
tt0141369,movie,Inspector Gadget,1999,78,"Action,Adventure,Comedy",4.2,54063,en,True,75000000.0,134403112.0,1.0
tt0142236,movie,Dragon Ball Z: Fusion Reborn,1995,51,"Action,Animation,Sci-Fi",7.6,13692,ja,True,0.0,23500000.0,12.0
tt0142242,movie,Dragon Ball Z: Broly - The Legendary Super Saiyan,1993,72,"Action,Animation,Fantasy",7.3,13401,ja,True,0.0,21658982.0,8.0
tt0142243,movie,Dragon Ball Z: Wrath of the Dragon,1995,52,"Action,Animation,Sci-Fi",7.4,10957,ja,True,0.0,11694663.0,13.0
tt0143145,movie,The World Is Not Enough,1999,128,"Action,Adventure,Thriller",6.4,221250,en,True,135000000.0,361832400.0,20.0
