tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0035575,movie,Yankee Doodle Dandy,1942,126,"Biography,Drama,Family",7.6,18125
tt0035753,movie,Le Corbeau,1943,92,"Crime,Drama,Mystery",7.8,11951
tt0035896,movie,For Whom the Bell Tolls,1943,170,"Adventure,Drama,History",6.8,11163
tt0035899,movie,Frankenstein Meets the Wolf Man,1943,74,"Fantasy,Horror,Sci-Fi",6.4,11085
tt0035979,movie,Heaven Can Wait,1943,112,"Comedy,Drama,Fantasy",7.3,13441
tt0036027,movie,I Walked with a Zombie,1943,69,"Drama,Fantasy,Horror",7.0,15493
tt0036112,movie,The Life and Death of Colonel Blimp,1943,163,"Drama,Romance,War",8.0,18312
tt0036244,movie,The Ox-Bow Incident,1943,75,"Drama,Western",8.0,27294
tt0036323,movie,Sahara,1943,97,"Action,Drama,War",7.5,11078
tt0036342,movie,Shadow of a Doubt,1943,108,"Drama,Film-Noir,Mystery",7.7,75609
tt0036506,movie,Day of Wrath,1943,97,"Drama,History",8.0,12079
tt0036613,movie,Arsenic and Old Lace,1944,118,"Comedy,Crime,Thriller",7.9,77743
tt0036775,movie,Double Indemnity,1944,107,"Crime,Drama,Film-Noir",8.3,182067
tt0036855,movie,Gaslight,1944,114,"Crime,Drama,Mystery",7.8,38029
tt0036868,movie,The Best Years of Our Lives,1946,170,"Drama,Romance,War",8.1,76497
tt0036872,movie,Going My Way,1944,126,"Comedy,Drama,Music",7.0,14868
tt0036969,movie,Jane Eyre,1943,97,"Drama,Romance",7.4,10361
tt0037008,movie,Laura,1944,88,"Drama,Film-Noir,Mystery",7.9,56229
tt0037017,movie,Lifeboat,1944,97,"Drama,War",7.6,33790
tt0037059,movie,Meet Me in St. Louis,1944,113,"Comedy,Drama,Family",7.5,31208
tt0037101,movie,"Murder, My Sweet",1944,95,"Crime,Drama,Film-Noir",7.5,16430
tt0037382,movie,To Have and Have Not,1944,100,"Adventure,Comedy,Drama",7.8,41320
tt0037415,movie,The Uninvited,1944,99,"Fantasy,Horror,Mystery",7.2,13612
tt0037469,movie,The Woman in the Window,1944,107,"Crime,Drama,Film-Noir",7.6,19587
tt0037514,movie,Anchors Aweigh,1945,140,"Comedy,Fantasy,Musical",7.0,10051
tt0037515,movie,And Then There Were None,1945,97,"Crime,Drama,Mystery",7.3,18626
tt0037536,movie,The Bells of St. Mary's,1945,126,Drama,7.2,10602
tt0037549,movie,The Body Snatcher,1945,78,"Horror,Thriller",7.3,11240
tt0037558,movie,Brief Encounter,1945,86,"Drama,Romance",8.0,48806
tt0037595,movie,Christmas in Connecticut,1945,101,"Comedy,Romance",7.3,13786
tt0037635,movie,Dead of Night,1945,95,"Drama,Fantasy,Horror",7.5,15928
tt0037638,movie,Detour,1945,66,"Crime,Drama,Film-Noir",7.3,22205
tt0037674,movie,Children of Paradise,1945,189,"Drama,Romance",8.3,22574
tt0037800,movie,I Know Where I'm Going!,1945,92,"Drama,Romance",7.4,11428
tt0037824,movie,"Ivan the Terrible, Part I",1944,95,"Biography,Drama,History",7.6,11807
tt0037865,movie,Leave Her to Heaven,1945,110,"Drama,Film-Noir,Romance",7.6,16821
tt0037884,movie,The Lost Weekend,1945,101,"Drama,Film-Noir",7.9,43392
