tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,original_language,is_franchise,budget,revenue
tt5360952,movie,The Hurricane Heist,2018,103,"Action,Adventure,Crime",5.2,23764,en,False,35000000.0,32517248.0
tt5360996,movie,Mary Magdalene,2018,120,"Biography,Drama,History",5.9,12317,en,False,20000000.0,11710110.0
tt5362988,movie,Wind River,2017,107,"Crime,Drama,Mystery",7.7,316990,en,True,11000000.0,44998252.0
tt5363618,movie,Sound of Metal,2019,120,"Drama,Music",7.7,187134,en,False,0.0,516520.0
tt5390504,movie,Detroit,2017,143,"Crime,Drama,History",7.3,59117,en,False,34000000.0,23400000.0
tt5397194,movie,Anon,2018,100,"Crime,Mystery,Sci-Fi",6.1,52109,en,False,20000000.0,1197741.0
tt5420210,movie,The Comeback Trail,2020,104,"Comedy,Crime",5.7,14716,en,False,25000000.0,0.0
tt5431890,movie,Official Secrets,2019,112,"Biography,Crime,Drama",7.3,60945,en,False,0.0,10100000.0
tt5433114,movie,Diego Maradona,2019,130,"Biography,Documentary,Sport",7.7,19398,en,False,0.0,0.0
tt5433138,movie,F9: The Fast Saga,2021,143,"Action,Crime,Thriller",5.2,181210,en,True,200000000.0,726229501.0
tt5433140,movie,Fast X,2023,141,"Action,Adventure,Crime",5.7,147355,en,True,340000000.0,704709660.0
tt5437928,movie,Colette,2018,111,"Biography,Drama,History",6.7,28231,en,False,0.0,14273033.0
tt5439796,movie,Logan Lucky,2017,118,"Action,Comedy,Crime",7.0,177324,en,False,29000000.0,48453605.0
tt5439812,movie,Zola,2020,86,"Comedy,Crime,Drama",6.4,20546,en,False,5000000.0,3500000.0
tt5440700,movie,Theri,2016,157,"Action,Crime,Drama",7.4,26571,ta,False,0.0,69.0
tt5442430,movie,Life,2017,104,"Horror,Sci-Fi,Thriller",6.6,278190,en,False,58000000.0,100541806.0
tt5442456,movie,24 Hours to Live,2017,93,"Action,Sci-Fi,Thriller",5.8,17443,en,False,0.0,5800000.0
tt5446858,movie,Zero Days,2016,116,Documentary,7.7,11053,en,False,0.0,109649.0
tt5456546,movie,Judwaa 2,2017,145,"Action,Comedy,Romance",3.7,12816,hi,True,10000000.0,34500000.0
tt5460276,movie,Kaabil,2017,139,"Action,Crime,Drama",7.2,33408,hi,False,5200000.0,0.0
tt5460530,movie,Vengeance: A Love Story,2017,99,"Action,Adventure,Crime",5.2,10018,en,False,28000000.0,14940116.0
tt5460658,movie,Life and a Day,2016,112,Drama,8.1,19700,fa,False,0.0,0.0
tt5460880,movie,Ideal Home,2018,91,"Comedy,Drama",6.4,12167,en,False,10000000.0,0.0
tt5461944,movie,Hotel Mumbai,2018,123,"Action,Drama,History",7.6,79590,en,False,25000000.0,16900000.0
tt5462326,movie,Mom and Dad,2017,86,"Comedy,Horror,Thriller",5.6,29767,en,False,0.0,169209.0
tt5462602,movie,The Big Sick,2017,120,"Comedy,Drama,Romance",7.5,150859,en,False,5000000.0,56303596.0
tt5463162,movie,Deadpool 2,2018,119,"Action,Adventure,Comedy",7.6,748379,en,True,110000000.0,785896632.0
tt5466186,movie,7 Days in Entebbe,2018,107,"Action,Drama,History",5.9,18299,en,False,0.0,9196740.0
tt5478478,movie,Hostiles,2017,134,"Drama,Western",7.2,107885,en,False,55000000.0,36976336.0
tt5498354,movie,Horizon Line,2020,92,"Adventure,Drama,Horror",4.8,12739,en,False,0.0,916042.0
tt5500218,movie,Samaritan,2022,102,"Action,Drama,Fantasy",5.7,61704,en,True,100000000.0,75000000.0
tt5501104,movie,Border,2018,110,"Crime,Drama,Fantasy",7.0,37529,sv,False,0.0,2000000.0
tt5503686,movie,Hustlers,2019,110,"Comedy,Crime,Drama",6.3,113284,en,False,20000000.0,157563598.0
tt5516328,movie,Ghost Stories,2017,98,"Drama,Horror,Mystery",6.4,40204,en,False,0.0,135095.0
tt5519340,movie,Bright,2017,117,"Action,Fantasy,Thriller",6.3,210176,en,False,90000000.0,0.0
tt5523010,movie,The Nutcracker and the Four Realms,2018,99,"Adventure,Family,Fantasy",5.6,40682,en,False,120000000.0,173961069.0
tt5525650,movie,The Goat Life,2024,173,"Adventure,Drama",7.1,50389,ml,False,9800000.0,19000000.0
tt5533370,movie,Lamborghini: The Legend,2022,97,"Biography,Drama,Sport",5.5,17760,en,False,1709686.0,0.0
tt5535276,movie,Maestro,2023,129,"Biography,Drama,History",6.5,69737,en,False,80000000.0,300000.0
tt5536610,movie,Private Life,2018,123,"Comedy,Drama",7.2,23840,en,False,0.0,0.0
tt5536736,movie,The Meyerowitz Stories,2017,112,"Comedy,Drama",6.9,56864,en,False,11400000.0,0.0
